date,timestamp,log_level,log,application_id,container_id
2016-04-07,2016-04-07 12:12:07,INFO,broadcast.TorrentBroadcast: Reading broadcast variable 193 took 6 ms,1448006111297_0138,01_000060
2016-04-07,2016-04-07 10:56:26,INFO,executor.Executor: Finished task 5.0 in stage 24.0 (TID 260). 2406 bytes result sent to driver,1448006111297_0137,02_000018
2016-04-07,2016-04-07 11:16:28,INFO,storage.BlockManager: Removing RDD 391,1448006111297_0137,02_000044
2016-04-07,2016-04-07 11:58:31,INFO,spark.MapOutputTrackerWorker: Updating epoch to 20 and clearing cache,1448006111297_0138,01_000015
2016-04-07,2016-04-07 12:03:18,INFO,storage.BlockManager: Removing RDD 259,1448006111297_0138,01_000007
2016-04-07,2016-04-07 10:55:35,INFO,storage.ShuffleBlockFetcherIterator: Getting 13 non-empty blocks out of 13 blocks,1448006111297_0137,02_000016
2016-04-07,2016-04-07 12:05:32,INFO,executor.Executor: Finished task 8.0 in stage 155.0 (TID 1805). 2406 bytes result sent to driver,1448006111297_0138,01_000053
2016-04-07,2016-04-07 12:10:41,INFO,"python.PythonRunner: Times: total = 42, boot = -1347, init = 1388, finish = 1",1448006111297_0138,01_000020
2016-04-07,2016-04-07 11:24:51,INFO,"python.PythonRunner: Times: total = 16121, boot = -29294, init = 29297, finish = 16118",1448006111297_0137,02_000017
2016-04-07,2016-04-07 11:14:38,INFO,executor.CoarseGrainedExecutorBackend: Got assigned task 2503,1448006111297_0137,02_000052
